Key	Type	Reactions	MetaCyc	EC	MSID	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn14010	rxn14010_Shan	"cpd00007[c0],cpd00013[c0],cpd11665[c0],cpd00001[c0],cpd00067[c0],cpd00165[c0],cpd11669[c0]"	"O2[c0],NH3[c0],QH2[c0],H2O[c0],H+[c0],Hydroxylamine[c0],Q[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn14010	ammonia,ubiquinol:oxygen oxidoreductase	FALSE	0	1000
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn16361	rxn16361_Shan	"cpd00007[c0],cpd00013[c0],cpd11610[c0],cpd00001[c0],cpd00165[c0],cpd11609[c0]"	"O2[c0],NH3[c0],AH2[c0],H2O[c0],Hydroxylamine[c0],A[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn16361	ammonia monooxygenase	FALSE	0	1000
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn19165	rxn19165_Shan	"cpd00007[c0],cpd00013[c0],cpd26978[c0],cpd00001[c0],cpd00165[c0],cpd22290[c0]"	"O2[c0],NH3[c0],Donor-H2[c0],H2O[c0],Hydroxylamine[c0],Acceptor[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn19165	AMO	TRUE	-1000	1000
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108	rxn06108_Shan	"cpd00003[c0],cpd11665[c0],cpd00004[c0],cpd00067[c0],cpd11669[c0]"	"NAD[c0],QH2[c0],NADH[c0],H+[c0],Q[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn06108	NADH:ubiquinone oxidoreductase	TRUE	-1000	0
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240	rxn20240_Shan	"cpd00004[c0],cpd00067[c0],cpd28301[c0],cpd00003[c0],cpd28300[c0]"	"NADH[c0],H+[c0],Ubiquinones[c0],NAD[c0],Ubiquinols[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn20240	dihydronicotinamide adenine dinucleotide-coenzyme Q reductase	FALSE	0	1000
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813	rxn37813_Shan	"cpd00004[c0],cpd00067[c0],cpd15560[c0],cpd00003[c0],cpd15561[c0]"	"NADH[c0],H+[c0],Ubiquinone-8[c0],NAD[c0],Ubiquinol-8[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn37813	RXN0-5330.w.araexp.CPD-9956_UBIQUINONE-8	FALSE	0	1000
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108	rxn06108_Shan	"cpd00003[c0],cpd11665[c0],cpd00004[c0],cpd00067[c0],cpd11669[c0]"	"NAD[c0],QH2[c0],NADH[c0],H+[c0],Q[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn06108	NADH:ubiquinone oxidoreductase	TRUE	-1000	0
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240	rxn20240_Shan	"cpd00004[c0],cpd00067[c0],cpd28301[c0],cpd00003[c0],cpd28300[c0]"	"NADH[c0],H+[c0],Ubiquinones[c0],NAD[c0],Ubiquinols[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn20240	dihydronicotinamide adenine dinucleotide-coenzyme Q reductase	FALSE	0	1000
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813	rxn37813_Shan	"cpd00004[c0],cpd00067[c0],cpd15560[c0],cpd00003[c0],cpd15561[c0]"	"NADH[c0],H+[c0],Ubiquinone-8[c0],NAD[c0],Ubiquinol-8[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn37813	RXN0-5330.w.araexp.CPD-9956_UBIQUINONE-8	FALSE	0	1000
nuoC	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108	rxn06108_Shan	"cpd00003[c0],cpd11665[c0],cpd00004[c0],cpd00067[c0],cpd11669[c0]"	"NAD[c0],QH2[c0],NADH[c0],H+[c0],Q[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn06108	NADH:ubiquinone oxidoreductase	TRUE	-1000	0
