Key	Type	Reactions	MetaCyc	EC	MSID	id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	is_copy_of	gapseq.status
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn14010	rxn14010	R00148	ammonia,ubiquinol:oxygen oxidoreductase	(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd11665[0] <=> (1) cpd00001[0] + (1) cpd00165[0] + (1) cpd11669[0]	-1:cpd00007:0:0:"O2";-1:cpd00013:0:0:"NH3";-1:cpd11665:0:0:"QH2";1:cpd00001:0:0:"H2O";1:cpd00067:0:0:"H+";1:cpd00165:0:0:"Hydroxylamine";1:cpd11669:0:0:"Q"	0	(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd11665[0] => (1) cpd00001[0] + (1) cpd00067[0] + (1) cpd00165[0] + (1) cpd11669[0]	(1) O2[0] + (1) NH3[0] + (1) QH2[0] => (1) H2O[0] + (1) H+[0] + (1) Hydroxylamine[0] + (1) Q[0]	>	>					-68.36	2.89	cpd00001;cpd00007;cpd00013;cpd00067;cpd00165;cpd11665;cpd11669	OK	0		HB		approved
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn16361	rxn16361	R09519	ammonia monooxygenase	(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd11610[0] <=> (1) cpd00001[0] + (1) cpd00165[0] + (1) cpd11609[0]	-1:cpd00007:0:0:"O2";-1:cpd00013:0:0:"NH3";-1:cpd11610:0:0:"AH2";1:cpd00001:0:0:"H2O";1:cpd00165:0:0:"Hydroxylamine";1:cpd11609:0:0:"A"	0	(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd11610[0] => (1) cpd00001[0] + (1) cpd00165[0] + (1) cpd11609[0]	(1) O2[0] + (1) NH3[0] + (1) AH2[0] => (1) H2O[0] + (1) Hydroxylamine[0] + (1) A[0]	>	>					1e+07	1e+07	cpd00001;cpd00007;cpd00013;cpd00165;cpd11609;cpd11610	MI:H:1/N:1/R:1|CI:-1	0				not.assessed
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn19165	rxn19165	AMONITRO-RXN.c	AMO	(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd26978[0] <=> (1) cpd00001[0] + (1) cpd00165[0] + (1) cpd22290[0]	-1:cpd00007:0:0:"O2";-1:cpd00013:0:0:"NH3";-1:cpd26978:0:0:"Donor-H2";1:cpd00001:0:0:"H2O";1:cpd00165:0:0:"Hydroxylamine";1:cpd22290:0:0:"Acceptor"	0	(1) cpd00007[0] + (1) cpd00013[0] + (1) cpd26978[0] <=> (1) cpd00001[0] + (1) cpd00165[0] + (1) cpd22290[0]	(1) O2[0] + (1) NH3[0] + (1) Donor-H2[0] <=> (1) H2O[0] + (1) Hydroxylamine[0] + (1) Acceptor[0]	=	=					1e+07	1e+07	cpd00001;cpd00007;cpd00013;cpd00165;cpd22290;cpd26978	CPDFORMERROR	0	rxn19166			not.assessed
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108	rxn06108	R02163	NADH:ubiquinone oxidoreductase	(1) cpd00003[0] + (1) cpd11665[0] <=> (1) cpd00004[0] + (1) cpd11669[0]	-1:cpd00003:0:0:"NAD";-1:cpd11665:0:0:"QH2";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd11669:0:0:"Q"	0	(1) cpd00003[0] + (1) cpd11665[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd11669[0]	(1) NAD[0] + (1) QH2[0] <= (1) NADH[0] + (1) H+[0] + (1) Q[0]	<	<					17.44	2.84	cpd00003;cpd00004;cpd00067;cpd11665;cpd11669	OK	0	rxn33889			approved
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240	rxn20240	RXN0-5330.c	dihydronicotinamide adenine dinucleotide-coenzyme Q reductase	(1) cpd00004[0] + (1) cpd28301[0] <=> (1) cpd00003[0] + (1) cpd28300[0]	-1:cpd00004:0:0:"NADH";-1:cpd00067:0:0:"H+";-1:cpd28301:0:0:"Ubiquinones";1:cpd00003:0:0:"NAD";1:cpd28300:0:0:"Ubiquinols"	0	(1) cpd00004[0] + (1) cpd00067[0] + (1) cpd28301[0] => (1) cpd00003[0] + (1) cpd28300[0]	(1) NADH[0] + (1) H+[0] + (1) Ubiquinones[0] => (1) NAD[0] + (1) Ubiquinols[0]	>	>					1e+07	1e+07	cpd00003;cpd00004;cpd00067;cpd28300;cpd28301	CPDFORMERROR	0	rxn20247;rxn20254;rxn28005;rxn28008;rxn38176;rxn38178			not.assessed
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813	rxn37813	RXN0-5330.w.araexp.CPD-9956_UBIQUINONE-8	RXN0-5330.w.araexp.CPD-9956_UBIQUINONE-8	(1) cpd00004[0] + (1) cpd15560[0] <=> (1) cpd00003[0] + (1) cpd15561[0]	-1:cpd00004:0:0:"NADH";-1:cpd00067:0:0:"H+";-1:cpd15560:0:0:"Ubiquinone-8";1:cpd00003:0:0:"NAD";1:cpd15561:0:0:"Ubiquinol-8"	0	(1) cpd00004[0] + (1) cpd00067[0] + (1) cpd15560[0] => (1) cpd00003[0] + (1) cpd15561[0]	(1) NADH[0] + (1) H+[0] + (1) Ubiquinone-8[0] => (1) NAD[0] + (1) Ubiquinol-8[0]	>	>					-17.44	2.84	cpd00003;cpd00004;cpd00067;cpd15560;cpd15561	OK	1	rxn08975;rxn20249;rxn36776;rxn36919;rxn38177;rxn38179		rxn08975	approved
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108	rxn06108	R02163	NADH:ubiquinone oxidoreductase	(1) cpd00003[0] + (1) cpd11665[0] <=> (1) cpd00004[0] + (1) cpd11669[0]	-1:cpd00003:0:0:"NAD";-1:cpd11665:0:0:"QH2";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd11669:0:0:"Q"	0	(1) cpd00003[0] + (1) cpd11665[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd11669[0]	(1) NAD[0] + (1) QH2[0] <= (1) NADH[0] + (1) H+[0] + (1) Q[0]	<	<					17.44	2.84	cpd00003;cpd00004;cpd00067;cpd11665;cpd11669	OK	0	rxn33889			approved
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240	rxn20240	RXN0-5330.c	dihydronicotinamide adenine dinucleotide-coenzyme Q reductase	(1) cpd00004[0] + (1) cpd28301[0] <=> (1) cpd00003[0] + (1) cpd28300[0]	-1:cpd00004:0:0:"NADH";-1:cpd00067:0:0:"H+";-1:cpd28301:0:0:"Ubiquinones";1:cpd00003:0:0:"NAD";1:cpd28300:0:0:"Ubiquinols"	0	(1) cpd00004[0] + (1) cpd00067[0] + (1) cpd28301[0] => (1) cpd00003[0] + (1) cpd28300[0]	(1) NADH[0] + (1) H+[0] + (1) Ubiquinones[0] => (1) NAD[0] + (1) Ubiquinols[0]	>	>					1e+07	1e+07	cpd00003;cpd00004;cpd00067;cpd28300;cpd28301	CPDFORMERROR	0	rxn20247;rxn20254;rxn28005;rxn28008;rxn38176;rxn38178			not.assessed
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813	rxn37813	RXN0-5330.w.araexp.CPD-9956_UBIQUINONE-8	RXN0-5330.w.araexp.CPD-9956_UBIQUINONE-8	(1) cpd00004[0] + (1) cpd15560[0] <=> (1) cpd00003[0] + (1) cpd15561[0]	-1:cpd00004:0:0:"NADH";-1:cpd00067:0:0:"H+";-1:cpd15560:0:0:"Ubiquinone-8";1:cpd00003:0:0:"NAD";1:cpd15561:0:0:"Ubiquinol-8"	0	(1) cpd00004[0] + (1) cpd00067[0] + (1) cpd15560[0] => (1) cpd00003[0] + (1) cpd15561[0]	(1) NADH[0] + (1) H+[0] + (1) Ubiquinone-8[0] => (1) NAD[0] + (1) Ubiquinol-8[0]	>	>					-17.44	2.84	cpd00003;cpd00004;cpd00067;cpd15560;cpd15561	OK	1	rxn08975;rxn20249;rxn36776;rxn36919;rxn38177;rxn38179		rxn08975	approved
nuoC	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108	rxn06108	R02163	NADH:ubiquinone oxidoreductase	(1) cpd00003[0] + (1) cpd11665[0] <=> (1) cpd00004[0] + (1) cpd11669[0]	-1:cpd00003:0:0:"NAD";-1:cpd11665:0:0:"QH2";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd11669:0:0:"Q"	0	(1) cpd00003[0] + (1) cpd11665[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd11669[0]	(1) NAD[0] + (1) QH2[0] <= (1) NADH[0] + (1) H+[0] + (1) Q[0]	<	<					17.44	2.84	cpd00003;cpd00004;cpd00067;cpd11665;cpd11669	OK	0	rxn33889			approved
