		sol$fluxes	cpd00067[c0]	cpd00067[e0]
		met_name	H+[c0]	H+[e0]
rxn00001_c0	diphosphate phosphohydrolase	1.07938550362623	1	0
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	0.00983577206798401	1	0
rxn00048_c0	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	0.0024589430170181	-1	0
rxn00056_c0	Fe(II):oxygen oxidoreductase	0.000568084232630683	-4	0
rxn00058_c0	Ferrocytochrome-c:oxygen oxidoreductase	36.5023110621346	-4	0
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	0.417291373812873	1	0
rxn00070_c0	glutathione:NAD+ oxidoreductase	1000	1	0
rxn00078_c0	ATP:NADH 2'-phosphotransferase	0.00122947150849805	1	0
rxn00086_c0	glutathione:NADP+ oxidoreductase	-1000	1	0
rxn00097_c0	ATP:AMP phosphotransferase	0.705291856276517	-1	0
rxn00100_c0	ATP:dephospho-CoA 3'-phosphotransferase	0.0024589430170181	1	0
rxn00102_c0	carbonate hydro-lyase (carbon-dioxide-forming)	-0.356739530446589	-1	0
rxn00106_c0	Triphosphate phosphohydrolase	0.00122947150850905	1	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.184948388940143	2	0
rxn00119_c0	ATP:UMP phosphotransferase	0.106075308557365	-1	0
rxn00124_c0	ATP:pyridoxal 5'-phosphotransferase	1.7539572225167e-14	1	0
rxn00126_c0	ATP:L-methionine S-adenosyltransferase	0.003688414525494	1	0
rxn00134_c0	ATP:adenosine 5'-phosphotransferase	0.002458943016996	1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00245894301701077	2	0
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	1	0
rxn00202_c0	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	-0.101478117790293	-1	0
rxn00218_c0	D-Glucose:NADP+ 1-oxidoreductase	1000	1	0
rxn00224_c0	protoheme ferro-lyase (protoporphyrin-forming)	0.00122947150850905	2	0
rxn00239_c0	ATP:GMP phosphotransferase	0.0786706759801064	-1	0
rxn00248_c0	(S)-malate:NAD+ oxidoreductase	-803.033497830315	1	0
rxn00249_c0	(S)-malate:NADP+ oxidoreductase	1000	1	0
rxn00256_c0	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	-95.5935101207019	-1	0
rxn00288_c0	Succinate:(acceptor) oxidoreductase	0.263044649972358	-1	0
rxn00300_c0	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	0.002458943016996	3	0
rxn00302_c0	GTP 8,9-hydrolase	0.00368841452551605	1	0
rxn00324_c0	glycolate:NADP+ oxidoreductase	0.00368841452552715	1	0
rxn00340_c0	L-aspartate:ammonia ligase (AMP-forming)	0.0712837085089664	2	0
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	0.001229471508498	1	0
rxn00364_c0	ATP:CMP phosphotransferase	0.101534727334824	-1	0
rxn00392_c0	ATP:riboflavin 5'-phosphotransferase	0.00122947150851554	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0472900011895329	2	0
rxn00438_c0	ATP:thiamin-phosphate phosphotransferase	0.00122947150849801	-1	0
rxn00453_c0	O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	0.0466767267151909	1	0
rxn00490_c0	L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)	0.0547857323038344	-1	0
rxn00510_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)	-999.89852188221	1	0
rxn00532_c0	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)	-0.0024589430170181	1	0
rxn00533_c0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)	0.356739530446594	1	0
rxn00536_c0	Ethanol:NADP+ oxidoreductase	1000	1	0
rxn00543_c0	ethanol:NAD+ oxidoreductase	-1000	1	0
rxn00604_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase	999.978506695597	1	0
rxn00611_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase	-0.0583417979840088	1	0
rxn00615_c0	ATP:glycerol 3-phosphotransferase	0.00972363299724083	1	0
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)	0.001229471508498	1	0
rxn00684_c0	5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase	999.988622211997	1	0
rxn00686_c0	5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase	-1000	1	0
rxn00710_c0	orotidine-5'-phosphate carboxy-lyase (UMP-forming)	0.097477986795988	-1	0
rxn00719_c0	5,6-Dihydrouracil:NAD+ oxidoreductase	1000	1	0
rxn00720_c0	5,6-Dihydrouracil:NADP+ oxidoreductase	-1000	1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0168092587750401	1	0
rxn00763_c0	Glycerol:NAD+ oxidoreductase	-1000	1	0
rxn00765_c0	Glycerol:NADP+ oxidoreductase	1000	1	0
rxn00770_c0	ATP:D-ribose-5-phosphate diphosphotransferase	0.052537221058742	1	0
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	-208.677812113707	1	0
rxn00789_c0	1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase	-0.028015431291692	-1	0
rxn00790_c0	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)	-0.145286120998048	-1	0
rxn00791_c0	N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase	-0.0168092587750401	-1	0
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00834_c0	IMP:NAD+ oxidoreductase	0.0774412044715973	1	0
rxn00838_c0	IMP:L-aspartate ligase (GDP-forming)	0.0946308763096675	2	0
rxn00859_c0	L-Histidinol:NAD+ oxidoreductase	0.028015431291692	3	0
rxn00902_c0	acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	-0.159158627913545	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0774412044716164	3	0
rxn00929_c0	L-Proline:NAD+ 5-oxidoreductase	-0.0653693396807115	2	0
rxn00945_c0	hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase	-0.025929687992857	1	0
rxn00957_c0	4-hydroxybenzaldehyde:NAD+ oxidoreductase	1000	2	0
rxn00958_c0	4-Hydroxybenzaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn00962_c0	4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)	6.52836012188355e-14	-1	0
rxn00979_c0	glycolaldehyde:NAD+ oxidoreductase	0.00368841452552715	2	0
rxn00997_c0	Phenyllactate:NAD+ oxidoreductase	1000	1	0
rxn00998_c0	Phenyllactate:NADP+ oxidoreductase	-1000	1	0
rxn01011_c0	D-Glycerate:NAD+ 2-oxidoreductase	1000	1	0
rxn01013_c0	D-Glycerate:NADP+ 2-oxidoreductase	-1000	1	0
