Key	Type	Reactions	MSID
1.1.1.298	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn16149
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn01451
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03239
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03242
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03244
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03246
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03249
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03287
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03289
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn03860
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn04750
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn06037
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn06777
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn07680
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn07684
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn07688
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn07883
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn08700
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn15495
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn15510
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn20473
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	rxn21061
