		sol$fluxes	cpd00067[c0]	cpd00067[e0]
		met_name	H+[c0]	H+[e0]
rxn00029_c0	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	0.00855009482187769	1	0
rxn00048_c0	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	0.00213752370537074	-1	0
rxn00056_c0	Fe(II):oxygen oxidoreductase	0.000493827431499071	-4	0
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	499.772889376743	1	0
rxn00077_c0	ATP:NAD+ 2'-phosphotransferase	0.00106876185268529	1	0
rxn00086_c0	glutathione:NADP+ oxidoreductase	-1000	1	0
rxn00097_c0	ATP:AMP phosphotransferase	1.59934670484404	-1	0
rxn00100_c0	ATP:dephospho-CoA 3'-phosphotransferase	0.00213752370537058	1	0
rxn00102_c0	carbonate hydro-lyase (carbon-dioxide-forming)	-4.91218054672049	-1	0
rxn00114_c0	ATP:carbamate phosphotransferase	1000	2	0
rxn00119_c0	ATP:UMP phosphotransferase	0.0922097360631824	-1	0
rxn00124_c0	ATP:pyridoxal 5'-phosphotransferase	-4.01219855949986e-15	1	0
rxn00126_c0	ATP:L-methionine S-adenosyltransferase	0.00320628555863704	1	0
rxn00134_c0	ATP:adenosine 5'-phosphotransferase	0.00213752370575596	1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00213752370537058	2	0
rxn00147_c0	ATP:pyruvate,water phosphotransferase	0.98410914117988	3	0
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	1	0
rxn00202_c0	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	-0.0882134644232337	-1	0
rxn00218_c0	D-Glucose:NADP+ 1-oxidoreductase	1000	1	0
rxn00224_c0	protoheme ferro-lyase (protoporphyrin-forming)	0.0010687618528209	2	0
rxn00239_c0	ATP:GMP phosphotransferase	0.0683872841542552	-1	0
rxn00248_c0	(S)-malate:NAD+ oxidoreductase	-1000	1	0
rxn00249_c0	(S)-malate:NADP+ oxidoreductase	992.638792634113	1	0
rxn00250_c0	Pyruvate:carbon-dioxide ligase (ADP-forming)	4.60207201728713	1	0
rxn00278_c0	L-Alanine:NAD+ oxidoreductase (deaminating)	498.067246114542	1	0
rxn00288_c0	Succinate:(acceptor) oxidoreductase	0.228660920971731	-1	0
rxn00299_c0	GTP 7,8-8,9-dihydrolase	0.00320628555804408	2	0
rxn00300_c0	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	0.00213752370537074	3	0
rxn00324_c0	glycolate:NADP+ oxidoreductase	-999.996793714442	1	0
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	0.00106876185268537	1	0
rxn00364_c0	ATP:CMP phosphotransferase	0.0861251505817397	-1	0
rxn00392_c0	ATP:riboflavin 5'-phosphotransferase	0.00106876185268537	1	0
