		sol$fluxes	cpd00002[c0]	cpd00002[e0]
		met_name	ATP[c0]	ATP[e0]
rxn00077_c0	ATP:NAD+ 2'-phosphotransferase	0.00106876185268529	-1	0
rxn00097_c0	ATP:AMP phosphotransferase	1.59934670484404	-1	0
rxn00100_c0	ATP:dephospho-CoA 3'-phosphotransferase	0.00213752370537058	-1	0
rxn00114_c0	ATP:carbamate phosphotransferase	1000	-1	0
rxn00117_c0	ATP:UDP phosphotransferase	0.107946058071548	-1	0
rxn00119_c0	ATP:UMP phosphotransferase	0.0922097360631824	-1	0
rxn00122_c0	ATP:FMN adenylyltransferase	0.00106876185270721	-1	0
rxn00124_c0	ATP:pyridoxal 5'-phosphotransferase	-4.01219855949986e-15	-1	0
rxn00126_c0	ATP:L-methionine S-adenosyltransferase	0.00320628555863704	-1	0
rxn00134_c0	ATP:adenosine 5'-phosphotransferase	0.00213752370575596	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00213752370537058	-1	0
rxn00147_c0	ATP:pyruvate,water phosphotransferase	0.98410914117988	-1	0
rxn00172_c0	Acetate:CoA ligase (ADP-forming)	1000	-1	0
rxn00179_c0	ATP:L-glutamate 5-phosphotransferase	0.134998907238696	-1	0
rxn00225_c0	ATP:acetate phosphotransferase	-999.992526472171	-1	0
rxn00237_c0	ATP:GDP phosphotransferase	0.144815666316845	-1	0
rxn00239_c0	ATP:GMP phosphotransferase	0.0683872841542552	-1	0
rxn00250_c0	Pyruvate:carbon-dioxide ligase (ADP-forming)	4.60207201728713	-1	0
rxn00257_c0	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]	3.41620270418741	-1	0
rxn00285_c0	Succinate:CoA ligase (ADP-forming)	4.34752500638956	-1	0
rxn00337_c0	ATP:L-aspartate 4-phosphotransferase	0.185277744407131	-1	0
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	0.00106876185268537	-1	0
rxn00364_c0	ATP:CMP phosphotransferase	0.0861251505817397	-1	0
rxn00392_c0	ATP:riboflavin 5'-phosphotransferase	0.00106876185268537	-1	0
rxn00409_c0	ATP:CDP phosphotransferase	0.0792235147451947	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0411085160863463	-1	0
rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)	0.0619658998556435	-1	0
rxn00438_c0	ATP:thiamin-phosphate phosphotransferase	0.00106876185268536	-1	0
rxn00515_c0	ATP:IDP phosphotransferase	-1000	-1	0
rxn00615_c0	ATP:glycerol 3-phosphotransferase	0.0084526139443763	-1	0
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)	0.00106876185268537	-1	0
rxn00669_c0	Propanoate:CoA ligase (ADP-forming)	-1000	-1	0
rxn00690_c0	Formate:tetrahydrofolate ligase (ADP-forming)	0.435900141109446	-1	0
rxn00770_c0	ATP:D-ribose-5-phosphate diphosphotransferase	0.253203080346751	-1	0
rxn00789_c0	1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase	-0.024353410423756	1	0
rxn00839_c0	ATP:dADP phosphotransferase	0.00668426147888113	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0673185223014825	-1	0
